studentNo,fName,lName,gender,Program,address,inResidence,highschool,transcript,academicStanding,birthday
267,Natalie,Lukas,M,Electrical Engineering,"6853 High Grove Townline, Top O\'Deep, Ontario, M1C-2X4, CA",0,"Sir Wilfrid Laurier Secondary School, Orleans, Ontario","Natalie, Lukas, 6853 High Grove Townline, Top O\'Deep, Ontario, M1C-2X4, CA, 267, 1989-06-15, Electrical Engineering, Sir Wilfrid Laurier Secondary School, Orleans, Ontario, ",Clear,1989-06-15
268,Jose,Gisselle,F,Electrical Engineering,"7888 Colonial Beacon Pike, Sugar House, Ontario, P6O-3O0, CA",0,"Bishop Macdonell Catholic Secondary School, Guelph, Ontario","Jose, Gisselle, 7888 Colonial Beacon Pike, Sugar House, Ontario, P6O-3O0, CA, 268, 1989-08-13, Electrical Engineering, Bishop Macdonell Catholic Secondary School, Guelph, Ontario, ",Clear ,1989-08-13
269,Hailey,Jamal,M,Mechatronics Engineering,"4638 Thunder Branch Mount, Jakajones, Ontario, M3R-9R3, CA",0,"Bishop Macdonell Catholic Secondary School, Guelph, Ontario","Hailey, Jamal, 4638 Thunder Branch Mount, Jakajones, Ontario, M3R-9R3, CA, 269, 1990-10-09, Mechatronics Engineering, Bishop Macdonell Catholic Secondary School, Guelph, Ontario, ",Clear,1990-10-09
270,Hunter,Virginia,F,Mechatronics Engineering,"4809 Cotton Mews, Magic Springs, Ontario, M6S-2S0, CA",0,"Bishop Macdonell Catholic Secondary School, Guelph, Ontario","Hunter, Virginia, 4809 Cotton Mews, Magic Springs, Ontario, M6S-2S0, CA, 270, 1993-07-29, Mechatronics Engineering, Bishop Macdonell Catholic Secondary School, Guelph, Ontario, ",Clear ,1993-07-29
271,Alexandra,Conor,F,Software Engineering,"7109 Quiet Horse Pointe, Rocky Comfort, Ontario, K8L-2I9, CA",0,"St. Joan of Arc Catholic Secondary School, Mississauga, Ontario","Alexandra, Conor, 7109 Quiet Horse Pointe, Rocky Comfort, Ontario, K8L-2I9, CA, 271, 1986-10-25, Software Engineering, St. Joan of Arc Catholic Secondary School, Mississauga, Ontario, ",Clear,1986-10-25
272,Jordan,Anahi,M,Software Engineering,"3471 Emerald Cove, Holy Cross, Ontario, P9B-7U5, CA",1,"St. Joan of Arc Catholic Secondary School, Mississauga, Ontario","Jordan, Anahi, 3471 Emerald Cove, Holy Cross, Ontario, P9B-7U5, CA, 272, 1986-04-12, Software Engineering, St. Joan of Arc Catholic Secondary School, Mississauga, Ontario, ",Clear ,1986-04-12
273,Savannah,Bobby,F,Software Engineering,"5137 Wishing Creek Dale, Steamboat Rock, Ontario, M6G-6P1, CA",1,"St. Joan of Arc Catholic Secondary School, Mississauga, Ontario","Savannah, Bobby, 5137 Wishing Creek Dale, Steamboat Rock, Ontario, M6G-6P1, CA, 273, 1999-05-20, Software Engineering, St. Joan of Arc Catholic Secondary School, Mississauga, Ontario, ",Clear,1999-05-20
274,Kyle,Lizbeth,M,Software Engineering,"4006 Misty Goose Extension, Dice, Ontario, L9Y-1X4, CA",0,"St Francis Xavier Secondary School, Mississauga, Ontario","Kyle, Lizbeth, 4006 Misty Goose Extension, Dice, Ontario, L9Y-1X4, CA, 274, 1998-11-09, Software Engineering, St Francis Xavier Secondary School, Mississauga, Ontario, ",Clear ,1998-11-09
275,Chloe,Trevon,F,Electrical Engineering,"9419 Cinder Pond Key, Sinking Valley, Ontario, P8Z-5H6, CA",1,"St Francis Xavier Secondary School, Mississauga, Ontario","Chloe, Trevon, 9419 Cinder Pond Key, Sinking Valley, Ontario, P8Z-5H6, CA, 275, 1994-03-26, Electrical Engineering, St Francis Xavier Secondary School, Mississauga, Ontario, ",Clear,1994-03-26
276,Caleb,Daniella,F,Electrical Engineering,"6256 Golden Hill, White Iron, Ontario, K8A-6L8, CA",1,"St Francis Xavier Secondary School, Mississauga, Ontario","Caleb, Daniella, 6256 Golden Hill, White Iron, Ontario, K8A-6L8, CA, 276, 1995-05-14, Electrical Engineering, St Francis Xavier Secondary School, Mississauga, Ontario, ",Clear ,1995-05-14
277,Rebecca,Camden,M,Electrical Engineering,"5020 Rocky Island Corner, Eulogy, Ontario, N6C-7B6, CA",0,"Meadowvale Secondary School, Mississauga, Ontario","Rebecca, Camden, 5020 Rocky Island Corner, Eulogy, Ontario, N6C-7B6, CA, 277, 2000-07-25, Electrical Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear,2000-07-25
278,Jason,Renee,F,Mechatronics Engineering,"8224 Sleepy Pine Jetty, Speedtown, Ontario, K6X-2Y5, CA",0,"Western Secondary School, Amherstburg, Ontario","Jason, Renee, 8224 Sleepy Pine Jetty, Speedtown, Ontario, K6X-2Y5, CA, 278, 2001-07-30, Mechatronics Engineering, Western Secondary School, Amherstburg, Ontario, ",Clear ,2001-07-30
279,Stephanie,Axel,M,Mechatronics Engineering,"8315 Shady Wood, Reform, Ontario, P0Z-3W4, CA",0,"Western Secondary School, Amherstburg, Ontario","Stephanie, Axel, 8315 Shady Wood, Reform, Ontario, P0Z-3W4, CA, 279, 1995-02-23, Mechatronics Engineering, Western Secondary School, Amherstburg, Ontario, ",Clear,1995-02-23
280,Logan,Jenny,F,Software Engineering,"9936 Stony Harbour, Thunder Hawk, Ontario, P7W-8J9, CA",1,Out of Canada,"Logan, Jenny, 9936 Stony Harbour, Thunder Hawk, Ontario, P7W-8J9, CA, 280, 1992-12-04, Software Engineering, Out of Canada, ",Clear ,1992-12-04
281,Maria,Kendall,F,Software Engineering,"8229 Silver Cider Circle, Bean Station, Ontario, P8M-4B5, CA",1,Out of Canada,"Maria, Kendall, 8229 Silver Cider Circle, Bean Station, Ontario, P8M-4B5, CA, 281, 1999-07-05, Software Engineering, Out of Canada, ",Clear,1999-07-05
282,Aaron,Ellie,M,Software Engineering,"277 Lazy Pony Path, Wetmore, Ontario, M1N-3O9, CA",1,Out of Canada,"Aaron, Ellie, 277 Lazy Pony Path, Wetmore, Ontario, M1N-3O9, CA, 282, 1993-10-19, Software Engineering, Out of Canada, ",Clear ,1993-10-19
283,Sophia,Santiago,F,Software Engineering,"1248 Little Berry Promenade, Lordship, Ontario, K7W-7V7, CA",1,Out of Canada,"Sophia, Santiago, 1248 Little Berry Promenade, Lordship, Ontario, K7W-7V7, CA, 283, 1996-03-03, Software Engineering, Out of Canada, ",Clear,1996-03-03
284,Eric,Jacquelyn,M,Electrical Engineering,"8254 Noble Boulevard, Sheep Pen Landing, Ontario, K8J-2J2, CA",1,Out of Canada,"Eric, Jacquelyn, 8254 Noble Boulevard, Sheep Pen Landing, Ontario, K8J-2J2, CA, 284, 1992-01-10, Electrical Engineering, Out of Canada, ",Clear ,1992-01-10
285,Mackenzie,Ezekiel,F,Electrical Engineering,"2078 Tawny Apple Orchard, Estiffanulga, Ontario, L9H-7I1, CA",1,"Abbey Park High School, Oakville, Ontario","Mackenzie, Ezekiel, 2078 Tawny Apple Orchard, Estiffanulga, Ontario, L9H-7I1, CA, 285, 1990-02-27, Electrical Engineering, Abbey Park High School, Oakville, Ontario, ",Clear,1990-02-27
286,Brian,Gloria,F,Electrical Engineering,"3012 Indian Concession, Totstalahoeetska, Ontario, K4Z-3H3, CA",0,"Abbey Park High School, Oakville, Ontario","Brian, Gloria, 3012 Indian Concession, Totstalahoeetska, Ontario, K4Z-3H3, CA, 286, 1997-06-21, Electrical Engineering, Abbey Park High School, Oakville, Ontario, ",Clear ,1997-06-21
287,Allison,Nikolas,M,Mechatronics Engineering,"6069 Grand Impasse, Wacahoota, Ontario, K2T-7K4, CA",0,"Abbey Park High School, Oakville, Ontario","Allison, Nikolas, 6069 Grand Impasse, Wacahoota, Ontario, K2T-7K4, CA, 287, 1996-11-20, Mechatronics Engineering, Abbey Park High School, Oakville, Ontario, ",Clear,1996-11-20
288,Gabriel,Linda,F,Mechatronics Engineering,"9746 Cozy Elk Parade, Whiskey Creek, Ontario, M9T-9D8, CA",0,"Mississauga Secondary School, Mississauga, Ontario","Gabriel, Linda, 9746 Cozy Elk Parade, Whiskey Creek, Ontario, M9T-9D8, CA, 288, 1991-12-25, Mechatronics Engineering, Mississauga Secondary School, Mississauga, Ontario, ",Clear ,1991-12-25
289,Isabella,Skylar,M,Software Engineering,"1886 Red Valley, Box Springs, Ontario, K8E-9A6, CA",0,"Mississauga Secondary School, Mississauga, Ontario","Isabella, Skylar, 1886 Red Valley, Box Springs, Ontario, K8E-9A6, CA, 289, 1985-11-18, Software Engineering, Mississauga Secondary School, Mississauga, Ontario, ",Clear,1985-11-18
290,Adam,Gina,F,Software Engineering,"6408 Broad Street, Bagtown, Ontario, P6J-3S1, CA",1,"John Fraser Secondary School, Mississauga, Ontario","Adam, Gina, 6408 Broad Street, Bagtown, Ontario, P6J-3S1, CA, 290, 2001-03-13, Software Engineering, John Fraser Secondary School, Mississauga, Ontario, ",Clear ,2001-03-13
291,Mary,Shaun,F,Software Engineering,"8860 Middle Nectar Mall , Cardtown, Ontario, P3K-6T1, CA",1,"John Fraser Secondary School, Mississauga, Ontario","Mary, Shaun, 8860 Middle Nectar Mall , Cardtown, Ontario, P3K-6T1, CA, 291, 2002-06-05, Software Engineering, John Fraser Secondary School, Mississauga, Ontario, ",Clear,2002-06-05
292,Jack,Meagan,M,Software Engineering,"6044 Velvet Hills Maze, Frogeye, Ontario, P0T-9Y2, CA",1,"John Fraser Secondary School, Mississauga, Ontario","Jack, Meagan, 6044 Velvet Hills Maze, Frogeye, Ontario, P0T-9Y2, CA, 292, 2002-09-15, Software Engineering, John Fraser Secondary School, Mississauga, Ontario, ",Clear ,2002-09-15
293,Amber,Jon,F,Electrical Engineering,"516 Iron Byway, The X, Ontario, P9T-1Q2, CA",0,"White Oaks High School, Oakville, Ontario","Amber, Jon, 516 Iron Byway, The X, Ontario, P9T-1Q2, CA, 293, 1993-07-06, Electrical Engineering, White Oaks High School, Oakville, Ontario, ",Clear,1993-07-06
294,Isaiah,Clara,M,Electrical Engineering,"3251 Gentle Glade, Pontchartrain Shores, Ontario, M9N-2M5, CA",1,"White Oaks High School, Oakville, Ontario","Isaiah, Clara, 3251 Gentle Glade, Pontchartrain Shores, Ontario, M9N-2M5, CA, 294, 1994-04-07, Electrical Engineering, White Oaks High School, Oakville, Ontario, ",Clear ,1994-04-07
295,Danielle,Keaton,F,Electrical Engineering,"291 Umber Fox Via, Paulins Kill, Ontario, N2Q-1M5, CA",0,"White Oaks High School, Oakville, Ontario","Danielle, Keaton, 291 Umber Fox Via, Paulins Kill, Ontario, N2Q-1M5, CA, 295, 1990-05-01, Electrical Engineering, White Oaks High School, Oakville, Ontario, ",Clear,1990-05-01
296,Juan,Ashton,F,Mechatronics Engineering,"4618 Blue Run, Frying Pan, Ontario, N2Q-8D5, CA",0,"White Oaks High School, Oakville, Ontario","Juan, Ashton, 4618 Blue Run, Frying Pan, Ontario, N2Q-8D5, CA, 296, 1989-12-07, Mechatronics Engineering, White Oaks High School, Oakville, Ontario, ",Clear ,1989-12-07
297,Gabrielle,Abel,M,Mechatronics Engineering,"5757 Jagged Turnabout, Junker, Ontario, K9B-4M0, CA",1,"Meadowvale Secondary School, Mississauga, Ontario","Gabrielle, Abel, 5757 Jagged Turnabout, Junker, Ontario, K9B-4M0, CA, 297, 1998-06-18, Mechatronics Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear,1998-06-18
298,Luis,Ivy,F,Software Engineering,"3386 Silent Mountain Stead, Okeewemee, Ontario, M3H-7M2, CA",1,"Meadowvale Secondary School, Mississauga, Ontario","Luis, Ivy, 3386 Silent Mountain Stead, Okeewemee, Ontario, M3H-7M2, CA, 298, 1988-09-16, Software Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear ,1988-09-16
299,Jordan,Malachi,M,Software Engineering,"4009 Hidden Court, Kachelmacher, Ontario, N1F-4P7, CA",1,"Meadowvale Secondary School, Mississauga, Ontario","Jordan, Malachi, 4009 Hidden Court, Kachelmacher, Ontario, N1F-4P7, CA, 299, 2001-05-23, Software Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear,2001-05-23
300,Connor,Heidi,F,Software Engineering,"1780 Easy Barn Close, Put-in-Bay, Ontario, K2K-6M3, CA",0,"Meadowvale Secondary School, Mississauga, Ontario","Connor, Heidi, 1780 Easy Barn Close, Put-in-Bay, Ontario, K2K-6M3, CA, 300, 1998-03-28, Software Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear ,1998-03-28
301,Brooke,Eddie,F,Software Engineering,"358 Blue Mountain, Tin City, Ontario, M0A-7H5, CA",0,"Meadowvale Secondary School, Mississauga, Ontario","Brooke, Eddie, 358 Blue Mountain, Tin City, Ontario, M0A-7H5, CA, 301, 1986-05-17, Software Engineering, Meadowvale Secondary School, Mississauga, Ontario, ",Clear,1986-05-17
302,Charles,Marina,M,Electrical Engineering,"5411 Shady Pointe, Big Bunch, Ontario, L9S-3H1, CA",1,"St Joseph Secondary School, Mississauga, Ontario","Charles, Marina, 5411 Shady Pointe, Big Bunch, Ontario, L9S-3H1, CA, 302, 1988-09-26, Electrical Engineering, St Joseph Secondary School, Mississauga, Ontario, ",Clear ,1988-09-26
303,Michelle,Kody,F,Electrical Engineering,"6642 Golden Blossom Acres, Helltown, Ontario, K4H-9D8, CA",1,"St Joseph Secondary School, Mississauga, Ontario","Michelle, Kody, 6642 Golden Blossom Acres, Helltown, Ontario, K4H-9D8, CA, 303, 1995-06-20, Electrical Engineering, St Joseph Secondary School, Mississauga, Ontario, ",Clear,1995-06-20
304,Elijah,Kayleigh,M,Electrical Engineering,"4807 Silent Place, Liberal, Ontario, P8M-2J6, CA",0,"St Joseph Secondary School, Mississauga, Ontario","Elijah, Kayleigh, 4807 Silent Place, Liberal, Ontario, P8M-2J6, CA, 304, 1996-11-21, Electrical Engineering, St Joseph Secondary School, Mississauga, Ontario, ",Clear ,1996-11-21
305,Sierra,Brendon,F,Mechatronics Engineering,"9647 Velvet Pond Point, Hongking, Ontario, N8M-9M4, CA",0,"St Joseph Secondary School, Mississauga, Ontario","Sierra, Brendon, 9647 Velvet Pond Point, Hongking, Ontario, N8M-9M4, CA, 305, 1995-04-19, Mechatronics Engineering, St Joseph Secondary School, Mississauga, Ontario, ",Clear,1995-04-19
306,Isaac,Cassie,F,Mechatronics Engineering,"2325 Cozy Run, La Push, Ontario, L8Y-8T6, CA",0,"St Joseph Secondary School, Mississauga, Ontario","Isaac, Cassie, 2325 Cozy Run, La Push, Ontario, L8Y-8T6, CA, 306, 1985-03-04, Mechatronics Engineering, St Joseph Secondary School, Mississauga, Ontario, ",Clear ,1985-03-04
307,Katelyn,Emilio,M,Software Engineering,"9392 Cotton Nectar Stead, Waiilatpo, Ontario, L4R-2N3, CA",0,"Westside Secondary School, Orangeville, Ontario","Katelyn, Emilio, 9392 Cotton Nectar Stead, Waiilatpo, Ontario, L4R-2N3, CA, 307, 2000-10-25, Software Engineering, Westside Secondary School, Orangeville, Ontario, ",Clear,2000-10-25
308,Steven,Tiana,F,Software Engineering,"9316 Lost Bank, Camel, Ontario, N3J-8R4, CA",0,"Sinclair Secondary School, Whitby, Ontario","Steven, Tiana, 9316 Lost Bank, Camel, Ontario, N3J-8R4, CA, 308, 1990-06-15, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1990-06-15
309,Andrea,Ernesto,M,Software Engineering,"778 Grand Timber Loop, Tees Toh, Ontario, L0E-9M0, CA",1,"Sinclair Secondary School, Whitby, Ontario","Andrea, Ernesto, 778 Grand Timber Loop, Tees Toh, Ontario, L0E-9M0, CA, 309, 2000-08-18, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,2000-08-18
310,Evan,Helen,F,Software Engineering,"3377 Silver Fawn Promenade, Rago, Ontario, K9K-7Y4, CA",0,"Sinclair Secondary School, Whitby, Ontario","Evan, Helen, 3377 Silver Fawn Promenade, Rago, Ontario, K9K-7Y4, CA, 310, 2000-07-16, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,2000-07-16
311,Madeline,Marshall,F,Electrical Engineering,"791 Crystal Bay, Will-O-The-Wisp, Ontario, M6X-6N9, CA",0,"Sinclair Secondary School, Whitby, Ontario","Madeline, Marshall, 791 Crystal Bay, Will-O-The-Wisp, Ontario, M6X-6N9, CA, 311, 1999-07-27, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,1999-07-27
312,Jared,Krystal,M,Electrical Engineering,"6371 High Trace, Wondervu, Ontario, N8F-0Z6, CA",1,"Sinclair Secondary School, Whitby, Ontario","Jared, Krystal, 6371 High Trace, Wondervu, Ontario, N8F-0Z6, CA, 312, 1994-11-11, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1994-11-11
313,Sara,Maurice,F,Electrical Engineering,"6492 Harvest Brook Swale, Landmark, Ontario, L2K-7X3, CA",1,"Sinclair Secondary School, Whitby, Ontario","Sara, Maurice, 6492 Harvest Brook Swale, Landmark, Ontario, L2K-7X3, CA, 313, 2003-12-21, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,2003-12-21
314,Sean,Teresa,M,Mechatronics Engineering,"9714 Broad Forest Harbour, Triangle, Ontario, P6N-5X3, CA",1,"Sinclair Secondary School, Whitby, Ontario","Sean, Teresa, 9714 Broad Forest Harbour, Triangle, Ontario, P6N-5X3, CA, 314, 1987-07-31, Mechatronics Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1987-07-31
315,Kimberly,Isiah,F,Mechatronics Engineering,"5341 Fallen Villas, Big Timber, Ontario, P5Z-1W8, CA",0,"Sinclair Secondary School, Whitby, Ontario","Kimberly, Isiah, 5341 Fallen Villas, Big Timber, Ontario, P5Z-1W8, CA, 315, 1986-10-22, Mechatronics Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,1986-10-22
316,Timothy,Monique,F,Software Engineering,"8602 Quiet Field, Content, Ontario, P2H-8P4, CA",1,"Sinclair Secondary School, Whitby, Ontario","Timothy, Monique, 8602 Quiet Field, Content, Ontario, P2H-8P4, CA, 316, 1992-06-03, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1992-06-03
317,Courtney,Rodney,M,Software Engineering,"9448 Wishing Wagon Corner, Wolf Point, Ontario, L6Y-3L0, CA",0,"Sinclair Secondary School, Whitby, Ontario","Courtney, Rodney, 9448 Wishing Wagon Corner, Wolf Point, Ontario, L6Y-3L0, CA, 317, 2001-07-07, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,2001-07-07
318,Luke,Raquel,F,Software Engineering,"3441 Green Pine Extension, New York, Ontario, L6E-6N3, CA",1,"Sinclair Secondary School, Whitby, Ontario","Luke, Raquel, 3441 Green Pine Extension, New York, Ontario, L6E-6N3, CA, 318, 1992-04-28, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1992-04-28
319,Erin,Ismael,M,Software Engineering,"5642 Thunder Branch Circle, Ticaboo, Ontario, L4J-3V3, CA",0,"Sinclair Secondary School, Whitby, Ontario","Erin, Ismael, 5642 Thunder Branch Circle, Ticaboo, Ontario, L4J-3V3, CA, 319, 2001-02-19, Software Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,2001-02-19
320,Cody,Ruth,F,Electrical Engineering,"2453 Heather Horse Glade, Beehive, Ontario, L8H-0S2, CA",0,"Sinclair Secondary School, Whitby, Ontario","Cody, Ruth, 2453 Heather Horse Glade, Beehive, Ontario, L8H-0S2, CA, 320, 1991-08-13, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,1991-08-13
321,Brittany,Craig,F,Electrical Engineering,"6108 Sleepy River Crest, Buzzard Roost, Ontario, M2J-0X4, CA",1,"Sinclair Secondary School, Whitby, Ontario","Brittany, Craig, 6108 Sleepy River Crest, Buzzard Roost, Ontario, M2J-0X4, CA, 321, 1990-01-03, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,1990-01-03
322,Nathaniel,Heaven,M,Electrical Engineering,"581 Stony Apple Towers, Deposit, Ontario, P3V-1K1, CA",1,"Sinclair Secondary School, Whitby, Ontario","Nathaniel, Heaven, 581 Stony Apple Towers, Deposit, Ontario, P3V-1K1, CA, 322, 2001-02-21, Electrical Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,2001-02-21
323,Vanessa,Brody,F,Mechatronics Engineering,"708 Cinder Creek Valley, Bald Knob, Ontario, M1Z-3P2, CA",1,"Sinclair Secondary School, Whitby, Ontario","Vanessa, Brody, 708 Cinder Creek Valley, Bald Knob, Ontario, M1Z-3P2, CA, 323, 2000-05-11, Mechatronics Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear,2000-05-11
324,Alex,Baylee,M,Mechatronics Engineering,"746 Dewy Glen, Four Gums, Ontario, M2D-9X0, CA",1,"Sinclair Secondary School, Whitby, Ontario","Alex, Baylee, 746 Dewy Glen, Four Gums, Ontario, M2D-9X0, CA, 324, 2000-07-12, Mechatronics Engineering, Sinclair Secondary School, Whitby, Ontario, ",Clear ,2000-07-12
325,Jenna,Marvin,X,Software Engineering,"2790 Gentle Willow Gate, Twist, Ontario, L1Q-1F7, CA",1,"Port Credit Secondary School, Mississauga, Ontario","Jenna, Marvin, 2790 Gentle Willow Gate, Twist, Ontario, L1Q-1F7, CA, 325, 1998-06-11, Software Engineering, Port Credit Secondary School, Mississauga, Ontario, ",Clear,1998-06-11
326,Seth,Cristina,F,Software Engineering,"2038 Burning Chase, Bearwallow, Ontario, P7F-6J2, CA",1,"Port Credit Secondary School, Mississauga, Ontario","Seth, Cristina, 2038 Burning Chase, Bearwallow, Ontario, P7F-6J2, CA, 326, 1998-01-14, Software Engineering, Port Credit Secondary School, Mississauga, Ontario, ",Clear ,1998-01-14
327,Jacqueline,Branden,M,Software Engineering,"8878 Easy Hills Path, Decoy, Ontario, K5I-1X3, CA",1,"Aurora High School, Aurora, Ontario","Jacqueline, Branden, 8878 Easy Hills Path, Decoy, Ontario, K5I-1X3, CA, 327, 1989-07-30, Software Engineering, Aurora High School, Aurora, Ontario, ",Clear,1989-07-30
328,Mason,Ashleigh,F,Software Engineering,"7307 Noble Court, Quality, Ontario, P3M-8S0, CA",0,"Aurora High School, Aurora, Ontario","Mason, Ashleigh, 7307 Noble Court, Quality, Ontario, P3M-8S0, CA, 328, 1995-11-12, Software Engineering, Aurora High School, Aurora, Ontario, ",Clear ,1995-11-12
329,Caroline,Braxton,M,Electrical Engineering,"2592 Amber Road, Frogmore, Ontario, M4C-5U0, CA",1,"Bishop Ryan Catholic Secondary School, Hamilton, Ontario","Caroline, Braxton, 2592 Amber Road, Frogmore, Ontario, M4C-5U0, CA, 329, 2003-11-30, Electrical Engineering, Bishop Ryan Catholic Secondary School, Hamilton, Ontario, ",Clear,2003-11-30
330,Richard,Kamryn,F,Electrical Engineering,"9254 Merry Bluff Knoll, Poland, Ontario, N0U-5R9, CA",1,"Sir Winston Churchill Secondary School, Hamilton, Ontario","Richard, Kamryn, 9254 Merry Bluff Knoll, Poland, Ontario, N0U-5R9, CA, 330, 1991-08-16, Electrical Engineering, Sir Winston Churchill Secondary School, Hamilton, Ontario, ",Clear ,1991-08-16
331,Faith,Tyson,F,Electrical Engineering,"4135 Misty By-pass, Only, Ontario, N8C-6N3, CA",0,"Sir Winston Churchill Secondary School, St Catharines, Ontario","Faith, Tyson, 4135 Misty By-pass, Only, Ontario, N8C-6N3, CA, 331, 1997-06-12, Electrical Engineering, Sir Winston Churchill Secondary School, St Catharines, Ontario, ",Clear,1997-06-12
332,Carlos,Deja,M,Mechatronics Engineering,"726 Tawny Ridge, Bug Tussle, Ontario, K3P-4E4, CA",1,"Sir Wilfrid Laurier Secondary School, London, Ontario","Carlos, Deja, 726 Tawny Ridge, Bug Tussle, Ontario, K3P-4E4, CA, 332, 1985-01-12, Mechatronics Engineering, Sir Wilfrid Laurier Secondary School, London, Ontario, ",Clear ,1985-01-12
333,Makayla,Esteban,F,Mechatronics Engineering,"9609 Emerald Isle, Gay Hill, Ontario, N3P-4G1, CA",0,"Sir Wilfrid Laurier Secondary School, London, Ontario","Makayla, Esteban, 9609 Emerald Isle, Gay Hill, Ontario, N3P-4G1, CA, 333, 2002-10-19, Mechatronics Engineering, Sir Wilfrid Laurier Secondary School, London, Ontario, ",Clear,2002-10-19
334,Angel,Georgia,M,Software Engineering,"2498 Dusty Passage, Devils Corner, Ontario, L7R-0I6, CA",1,"Sir Wilfrid Laurier Secondary School, London, Ontario","Angel, Georgia, 2498 Dusty Passage, Devils Corner, Ontario, L7R-0I6, CA, 334, 2003-12-24, Software Engineering, Sir Wilfrid Laurier Secondary School, London, Ontario, ",Clear ,2003-12-24
335,Bailey,Jeffery,F,Software Engineering,"4913 Round Mountain Hollow, Bedlam Corner, Ontario, M7I-5E5, CA",1,"Sir Wilfrid Laurier Secondary School, Orleans, Ontario","Bailey, Jeffery, 4913 Round Mountain Hollow, Bedlam Corner, Ontario, M7I-5E5, CA, 335, 1985-05-15, Software Engineering, Sir Wilfrid Laurier Secondary School, Orleans, Ontario, ",Clear,1985-05-15
336,Patrick,Emilee,F,Software Engineering,"806 Clear Walk, Little Heaven, Ontario, L7J-1H9, CA",0,"Sir Wilfrid Laurier Secondary School, Orleans, Ontario","Patrick, Emilee, 806 Clear Walk, Little Heaven, Ontario, L7J-1H9, CA, 336, 2003-07-04, Software Engineering, Sir Wilfrid Laurier Secondary School, Orleans, Ontario, ",Clear ,2003-07-04
337,Paige,Morgan,M,Software Engineering,"6334 Foggy Orchard, Big Hill, Ontario, P0Y-2X2, CA",0,"Sir Wilfrid Laurier Secondary School, Orleans, Ontario","Paige, Morgan, 6334 Foggy Orchard, Big Hill, Ontario, P0Y-2X2, CA, 337, 1985-02-25, Software Engineering, Sir Wilfrid Laurier Secondary School, Orleans, Ontario, ",Clear,1985-02-25
338,Devin,Bryanna,F,Electrical Engineering,"9100 Hidden Gardens, Missisinewa, Ontario, P9N-6C0, CA",0,"Sir Wilfrid Laurier Secondary School, Orleans, Ontario","Devin, Bryanna, 9100 Hidden Gardens, Missisinewa, Ontario, P9N-6C0, CA, 338, 2002-07-06, Electrical Engineering, Sir Wilfrid Laurier Secondary School, Orleans, Ontario, ",Clear ,2002-07-06
339,Shelby,Terry,M,Electrical Engineering,"6727 Lazy Downs, Starboard, Ontario, P0E-9R2, CA",0,"Bishop Macdonell Catholic Secondary School, Guelph, Ontario","Shelby, Terry, 6727 Lazy Downs, Starboard, Ontario, P0E-9R2, CA, 339, 1990-12-28, Electrical Engineering, Bishop Macdonell Catholic Secondary School, Guelph, Ontario, ",Clear,1990-12-28
340,Bryan,Mariana,F,Electrical Engineering,"3819 Old Leaf Turnabout, Piscataway, Ontario, P2I-1U0, CA",0,"Bishop Macdonell Catholic Secondary School, Guelph, Ontario","Bryan, Mariana, 3819 Old Leaf Turnabout, Piscataway, Ontario, P2I-1U0, CA, 340, 1995-09-19, Electrical Engineering, Bishop Macdonell Catholic Secondary School, Guelph, Ontario, ",Clear ,1995-09-19
341,Melissa,Salvador,F,Mechatronics Engineering,"2187 Indian Goose Grounds, Sunshine, Ontario, K5G-9B9, CA",1,"Bishop Macdonell Catholic Secondary School, Guelph, Ontario","Melissa, Salvador, 2187 Indian Goose Grounds, Sunshine, Ontario, K5G-9B9, CA, 341, 2001-08-10, Mechatronics Engineering, Bishop Macdonell Catholic Secondary School, Guelph, Ontario, ",Clear,2001-08-10
